searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
посудомоечная машина	1752	False	посудомоечная машина	14	14
meizu	156	False	meizu	10	10
сифон для газирования воды	12	False	сифон для газирования воды	13	13
усилитель	115	False	усилитель	11	11
электро гриль	871	False	электро гриль	14	14
гофре	129	False	гофре	2	2
Клавиатура для SMART TV	3	False	Клавиатура для SMART TV	14	14
духовой шкаф	739	False	духовой шкаф	14	14
холодильник	4198	False	холодильник	15	15
redmond	410	False	redmond	14	14
колонки	826	False	колонки	14	14
пылесосы	969	False	пылесосы	15	15
телевизор	2073	False	телевизор	14	14
моющий пылесос	148	False	моющий пылесос	12	12
3д очки	13	False	3д очки	7	7
швейная машина	1475	False	швейная машина	14	14
блендер	1259	False	блендер	14	14
Electrolux CEE 6432 KX	7	False	Electrolux CEE 6432 KX	1	1
Морозильная камера Nord ДМ 161-010 Nord	1	False	Морозильная камера Nord ДМ 161-010 Nord	0	0
магнитола	185	False	магнитола	15	15
Клавиатура беспроводная	11	False	Клавиатура беспроводная	12	12
кухонный комбайн	584	False	кухонный комбайн	13	13
встраиваемая варочная панель	2250	False	встраиваемая варочная панель	15	15
вытяжка подвесная	422	False	вытяжка подвесная	14	14
ирригатор	207	False	ирригатор	2	2
Штатив для телефона	6	False	Штатив для телефона	7	7
Гладильная доска	82	False	Гладильная доска	15	15
мультиварка скороварка	346	False	мультиварка скороварка	13	13
Ирригатры для полости рта	1	True	ирригаторы для полости рта	14	16
philips 5500 series	1	False	philips 5500 series	14	14
вытяжка	4384	False	вытяжка	15	15
сотовые телефоны	500	False	сотовые телефоны	14	14
iphone 6s plus	41	False	iphone 6s plus	5	5
Samsung galaxy j3	4	False	Samsung galaxy j3	10	10
Смартфон 8 x	2	False	Смартфон 8 x	14	14
планшеты	1251	False	планшеты	14	14
cvtcbntkm	1	True	смеситель	14	15
Швейнач	1	True	швейная	14	13
антирадар	32	False	антирадар	11	11
Xiaomi redmi 4x	11	False	Xiaomi redmi 4x	10	10
чернила epson	41	False	чернила epson	5	5
кондиционер	224	False	кондиционер	11	11
вытяжка каминная	328	False	вытяжка каминная	14	14
цифровая приставка	452	False	цифровая приставка	3	3
lenovo	352	False	lenovo	13	13
планшет	1753	False	планшет	14	14
встраиваемая посудомоечная машина	918	False	встраиваемая посудомоечная машина	14	14
Чехол на хонор 8 с	1	True	чехол на honor 8 с	14	10
фитнес браслет	776	False	фитнес браслет	7	7
Электронные игрушки юсб	1	True	электронные игрушки usb	11	11
утюги	577	False	утюги	15	15
ноутбук	1516	False	ноутбук	14	14
Xiaomi Mi note 3	5	False	Xiaomi Mi note 3	10	10
смартфон	683	False	смартфон	14	14
стиральная машина	2841	False	стиральная машина	14	14
внешний жесткий диск	1050	False	внешний жесткий диск	12	12
инверторная микроволновка	25	False	инверторная микроволновка	14	14
подставка для ноутбука	139	False	подставка для ноутбука	13	13
benq xl2411	2	False	benq xl2411	2	2
наборы кострюль	7	False	наборы кострюль	13	13
Xiaomi air dots	1	False	Xiaomi air dots	1	1
Термоса в наличии	1	False	Термоса в наличии	14	14
Кулер	98	False	Кулер	11	11
отпариватель	617	False	отпариватель	13	13
lg x power	9	False	lg x power	8	8
плита	278	False	плита	14	14
телевизор lg 49uk6390plg led	4	False	телевизор lg 49uk6390plg led	21	21
rjat	2	True	кофе	14	15
мониторы	282	False	мониторы	13	13
утюг	927	False	утюг	14	14
playstation 4	814	False	playstation 4	13	13
смартфоны	12701	False	смартфоны	14	14
наушники jbl	321	False	наушники jbl	14	14
оникс бук	1	True	onyx book	12	5
компьютерные столы	139	False	компьютерные столы	3	3
Парогенератор	64	False	Парогенератор	13	13
1150092	3	False	1150092	6	6
788572 parkett prestige	1	False	788572 parkett prestige	6	6
пылесос	4993	False	пылесос	14	14
зеркальные фотоаппараты	27	False	зеркальные фотоаппараты	13	13
весы диагностические	8	False	весы диагностические	13	13
джойстик	88	False	джойстик	12	12
комбинированные плиты	409	False	комбинированные плиты	13	13
кофемолка	1015	False	кофемолка	13	13
ремешок для часов	4	False	ремешок для часов	14	14
gorenje	108	False	gorenje	12	12
Смартфон Honor 7A Pro 16 ГБ синий	2	False	Смартфон Honor 7A Pro 16 ГБ синий	14	14
встраиваемые газовые варочные панели	113	False	встраиваемые газовые варочные панели	14	14
Телевизоры сони 102 диагональ	1	True	телевизоры sony 102 диагональ	9	0
Аэрогриль	107	False	Аэрогриль	7	7
Швейная	31	False	Швейная	13	13
шуруповерт	508	False	шуруповерт	15	15
  МФУ HP LaserJet Pro M28a, МФУ (принтер, сканер, копир), для дома, небольшого офиса, ч/	2	False	  МФУ HP LaserJet Pro M28a, МФУ (принтер, сканер, копир), для дома, небольшого офиса, ч/	14	14
Акустика	50	False	Акустика	15	15
Пылесос	935	False	Пылесос	14	14
игры для playstation 3	5	False	игры для playstation 3	13	13
Микроволновая печь Horizont	2	False	Микроволновая печь Horizont	12	12
Samsung sc 20m2045	3	False	Samsung sc 20m2045	14	14
мультипекарь	1161	False	мультипекарь	4	4
моющие пылесосы	228	False	моющие пылесосы	13	13
стекло Honor 9	1	False	стекло Honor 9	10	10
apple iphone 7	49	False	apple iphone 7	12	12
Playstation vr	6	False	Playstation vr	13	13
камеры видеонаблюдения	41	False	камеры видеонаблюдения	13	13
thomas xt	9	False	thomas xt	12	12
дрели	20	False	дрели	18	18
набор посуды	209	False	набор посуды	13	13
Решетка духовки	1	False	Решетка духовки	6	6
пылесос с аквафильтром	66	False	пылесос с аквафильтром	15	15
встраиваемый духовой шкаф	2014	False	встраиваемый духовой шкаф	15	15
нож для мясорубки	64	False	нож для мясорубки	12	12
Панель газовая встроеная	1	False	Панель газовая встроеная	14	14
шашлычница электрическая	4	False	шашлычница электрическая	10	10
redmond 1920	2	False	redmond 1920	7	7
led lg 43lk5400	9	False	led lg 43lk5400	2	2
Увлажнитель	257	False	Увлажнитель	13	13
рессивер dvb-t2	11	False	рессивер dvb-t2	6	6
Видео карты	7	False	Видео карты	13	13
смартфон xiaomi mi 8	16	False	смартфон xiaomi mi 8	11	11
Polaris	254	False	Polaris	28	28
Кулер компрессорный	1	False	Кулер компрессорный	8	8
сетевой фильтр	287	False	сетевой фильтр	13	13
кастрюля жаровня	6	False	кастрюля жаровня	3	3
телевизоры с изогнутым экраном	1	False	телевизоры с изогнутым экраном	13	13
робот пылесос	937	False	робот пылесос	8	8
весы кухонные	275	False	весы кухонные	14	14
Настенный крон	2	False	Настенный крон	9	9
моноблоки	42	False	моноблоки	12	12
цифро аналоговый конвертор	1	False	цифро аналоговый конвертор	10	10
player mp	3	False	player mp	14	14
Блинница	76	False	Блинница	6	6
Холодильник SHIVAKI SDR-082W	2	False	Холодильник SHIVAKI SDR-082W	14	14
Сигнализация	16	False	Сигнализация	11	11
Зубная щётка электрическая	2	False	Зубная щётка электрическая	13	13
iphone	1108	False	iphone	3	3
xiaomi mi 8	137	False	xiaomi mi 8	12	12
m6t	4	False	m6t	11	11
Моющии полисос	2	True	моющие пылесос	14	12
тестораскатка	9	False	тестораскатка	5	5
карта памяти 32	59	False	карта памяти 32	14	14
аккумулятор для ноутбука hp	1	False	аккумулятор для ноутбука hp	11	11
казан	64	False	казан	3	3
стиральная машина candy cs4 1172d1/2-07	1	False	стиральная машина candy cs4 1172d1/2-07	14	14
LG 28LH451U	9	False	LG 28LH451U	0	0
защитное стекло на xiaomi	13	False	защитное стекло на xiaomi	13	13
стиральные машины	759	False	стиральные машины	14	14
принтер лазерный	44	False	принтер лазерный	14	14
XF85	1	False	XF85	4	4
apple iphone	102	False	apple iphone	12	12
таймеры	6	False	таймеры	2	2
apple	414	False	apple	14	14
осушитель воздуха	106	False	осушитель воздуха	5	5
видеокарта	596	False	видеокарта	13	13
водонагреватель	686	False	водонагреватель	14	14
микроволновая печь	4084	False	микроволновая печь	14	14
телескопы	101	False	телескопы	8	8
электрическая плита мечта	37	False	электрическая плита мечта	8	8
Грелка	3	False	Грелка	10	10
wi-fi адаптер	172	False	wi-fi адаптер	4	4
Смартфоны	711	False	Смартфоны	14	14
газовая плита	1355	False	газовая плита	14	14
iphone 6s	436	False	iphone 6s	3	3
netis	145	False	netis	5	5
фонарь	67	False	фонарь	13	13
автомагнитола	290	False	автомагнитола	14	14
Кресло	209	False	Кресло	13	13
видеорегистратор	975	False	видеорегистратор	14	14
iphone se	149	False	iphone se	3	3
ыыыыы!	2	False	ыыыыы!	0	0
весы напольные	1335	False	весы напольные	14	14
вытяжки	1487	False	вытяжки	14	14
Игровые приставки псп	2	False	Игровые приставки псп	2	2
внешний аккумулятор	426	False	внешний аккумулятор	14	14
плитки электрические настольные	209	False	плитки электрические настольные	13	13
Наушники бассы	3	False	Наушники бассы	14	14
apple tv	26	False	apple tv	14	14
утюг scarlett sc-1135s зеленый	1	False	утюг scarlett sc-1135s зеленый	14	14
кабель hdmi - hdmi	372	False	кабель hdmi - hdmi	0	0
sony playstation 4	686	False	sony playstation 4	11	11
гарнитура plantronics audio 478	1	False	гарнитура plantronics audio 478	14	14
Maunfeld	5	False	Maunfeld	18	18
THOMAS 788526 Tristan Aqua Stealth	2	False	THOMAS 788526 Tristan Aqua Stealth	0	0
сэндвичница	55	False	сэндвичница	13	13
портативная колонка	1249	False	портативная колонка	14	14
Машина стиральная	3	False	Машина стиральная	14	14
электронная книга	832	False	электронная книга	12	12
vr	27	False	vr	11	11
pfhzlyjt ecnhjqcndj lkz gkfyitnf	1	True	зарядное устройство lkz gkfyitnf	14	0
dvd плеер	96	False	dvd плеер	12	12
Стереосистема	1	False	Стереосистема	14	14
навигаторы	10	False	навигаторы	7	7
LED-телевизор Samsung UE24H5610AKX	1	False	LED-телевизор Samsung UE24H5610AKX	14	14
чайник	879	False	чайник	14	14
миксер	560	False	миксер	14	14
газовая плита с электрической духовкой	178	False	газовая плита с электрической духовкой	12	12
экшн камера	404	False	экшн камера	13	13
leran cbf 200 w	8	False	leran cbf 200 w	11	11
телевизоры	959	False	телевизоры	14	14
плазма	2	False	плазма	1	1
xiaomi redmi 6	67	False	xiaomi redmi 6	10	10
компьютерная мышь	190	False	компьютерная мышь	14	14
Ветчиница	4	False	Ветчиница	1	1
