searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
Варочная поверхность СГ СН 2231-01 К43/К46/К48	1	False	Варочная поверхность СГ СН 2231-01 К43/К46/К48	0	0
хлебопечки	140	False	хлебопечки	18	18
блендер	802	False	блендер	19	19
Холодильник ATLANT ХМ 6021-031	3	False	Холодильник ATLANT ХМ 6021-031	1	1
Iplate YZ-T24	4	False	Iplate YZ-T24	0	0
Сушильная машина Bosch	3	False	Сушильная машина Bosch	7	7
стойка напольная для тв	13	False	стойка напольная для тв	19	19
Polaris Bizarre	1	False	Polaris Bizarre	0	0
neff	158	False	neff	15	15
Bosch MUM 4855	4	False	Bosch MUM 4855	1	1
283133	4	False	283133	1	1
tescoma	6086	False	tescoma	19	19
0273563	4	False	0273563	1	1
4713	12	False	4713	2	2
286227	16	False	286227	1	1
276086	6	False	276086	1	1
liebherr	566	False	liebherr	18	18
холодильник	3809	False	холодильник	19	19
260227	1	False	260227	1	1
gezatone	21	False	gezatone	18	18
Кофемашина Jura WE8 Chrome (15091)	9	False	Кофемашина Jura WE8 Chrome (15091)	1	1
водонагреватель проточный газовый	80	False	водонагреватель проточный газовый	18	18
00575275	4	False	00575275	1	1
tefal	1049	False	tefal	18	18
Indesit ITF 020	2	False	Indesit ITF 020	0	0
Electrolux EWW 51685 SWD	2	False	Electrolux EWW 51685 SWD	1	1
Neff	57	False	Neff	15	15
газовая варочная панель	3132	False	газовая варочная панель	19	19
Leran WMXS-10622WD	1	False	Leran WMXS-10622WD	0	0
cvfhnajy	5	True	смартфон	20	19
Авт. пылесос Hoover SC72DWG4 011	1	False	Авт. пылесос Hoover SC72DWG4 011	0	0
 Electrolux IPE 6453 WF	1	False	electrolux ipe 6453 wf	0	0
KORTING вытяжка KHC 9639 RB	1	False	KORTING вытяжка KHC 9639 RB	1	1
встраиваемый электрический духовой шкаф bosch	240	False	встраиваемый электрический духовой шкаф bosch	18	18
Электроплита Hansa FCCW 54000	3	False	Электроплита Hansa FCCW 54000	1	1
газовая колонка	196	False	газовая колонка	2	2
Tefal Pro Express Total GV 8961	1	False	Tefal Pro Express Total GV 8961	0	0
кофемолка	242	False	кофемолка	18	18
для ванны	4	False	для ванны	19	19
209983	33	False	209983	1	1
BBK 50LEM	1	False	BBK 50LEM	1	1
atlant 4626	157	False	atlant 4626	0	0
холодильник атлан	1	True	холодильник atlant	20	19
Zanussi ZWH/S 100 Smalto	2	False	Zanussi ZWH/S 100 Smalto	2	2
Кофемолка	58	False	Кофемолка	18	18
273602	10	False	273602	1	1
WDW 85120 B3	1	False	WDW 85120 B3	0	0
GCv 4060	1	False	GCv 4060	10	10
260739	7	False	260739	1	1
redmond rmc	62	False	redmond rmc	16	16
atlant 40М102	126	False	atlant 40М102	0	0
186680	4	False	186680	1	1
190057	20	False	190057	1	1
Korting KMI 825 XN	3	False	Korting KMI 825 XN	9	9
play station	2	True	playstation	1	1
варочная панель	789	False	варочная панель	19	19
холодильник двухкамерный	6079	False	холодильник двухкамерный	19	19
kin 86 vf 20 r	1	False	kin 86 vf 20 r	10	10
