searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
патчи	1850	False	патчи	31	31
маска против черных точек	99	False	маска против черных точек	20	20
лопатка для альгинатной маски	7	False	лопатка для альгинатной маски	32	32
1355	4	False	1355	1	1
Lador	188	False	Lador	31	31
тонер с гиалуроновой кислотой	2	False	тонер с гиалуроновой кислотой	32	32
праймер для лица	69	False	праймер для лица	19	19
пробники	138	False	пробники	0	0
Улиточный тонер	1	False	Улиточный тонер	28	28
bridal cream	27	False	bridal cream	32	32
филлер для волос lador	108	False	филлер для волос lador	28	28
FARM STAY	3	True	farmstay	28	29
успокаивающая маска	26	False	успокаивающая маска	24	24
бесцветный гель для бровей	10	False	бесцветный гель для бровей	31	31
dr.jart	51	False	dr.jart	19	19
Missha	64	False	Missha	25	25
тканевые маски для лица	623	False	тканевые маски для лица	31	31
ночной крем для лица миша	5	True	ночной крем для лица missha	30	0
holly skin	3	False	holly skin	32	32
Маска увлажняющая ночная Lioele V-line Waterdrop Sleeping Pack	7	False	Маска увлажняющая ночная Lioele V-line Waterdrop Sleeping Pack	29	29
Бамбук	2	False	Бамбук	31	31
Маска прмидор	1	False	Маска прмидор	32	32
cell renew bio emulsion	6	False	cell renew bio emulsion	22	22
кокосовое масло	99	False	кокосовое масло	27	27
патчи la miso	210	False	патчи la miso	31	31
seantree donkey milk water drop cream	23	False	seantree donkey milk water drop cream	30	30
ciracle pore control blackhead off sheet	88	False	ciracle pore control blackhead off sheet	31	31
набор для карбокситерапии	108	False	набор для карбокситерапии	30	30
маски альгинатные	1209	False	маски альгинатные	31	31
Для умывания	22	False	Для умывания	31	31
гидрогелевые патчи	1055	False	гидрогелевые патчи	31	31
limoni	148	False	limoni	22	22
матирующий яичный праймер	12	False	матирующий яичный праймер	28	28
VILLAGE 11 FACTORY Pink Calming Sun Block SPF50  P	4	False	village 11 factory pink calming sun block spf50 p	32	32
elizavecca mask	96	False	elizavecca mask	29	29
патчи для носогубных складок	15	False	патчи для носогубных складок	27	27
кислоты	38	False	кислоты	28	28
tony moly кисть	1	False	tony moly кисть	18	18
сыворотки для лица	498	False	сыворотки для лица	31	31
сужающая поры	23	False	сужающая поры	24	24
bt21	20	False	bt21	0	0
спонж для умывания	24	False	спонж для умывания	22	22
some by mi	43	False	some by mi	30	30
гидрофильные масла	1007	False	гидрофильные масла	21	21
969	4	False	969	16	16
декоративная косметика	13	False	декоративная косметика	32	32
карбоксотерапия набор	17	False	карбоксотерапия набор	32	32
уголь	10	False	уголь	29	29
маска ночная	84	False	маска ночная	27	27
missha scalp therapy	3	False	missha scalp therapy	32	32
77671	1	False	77671	0	0
Персиковая помада	3	False	Персиковая помада	32	32
Коконы	4	False	Коконы	32	32
etude house collagen moistfull	5	False	etude house collagen moistfull	17	17
Dr.Hart	1	True	dr.jart	0	19
farmstay	152	False	farmstay	29	29
saem mask	2	False	saem mask	30	30
eunyul clean	2	False	eunyul clean	26	26
тональные крема	211	False	тональные крема	11	11
PRIMERA бренд	1	False	PRIMERA бренд	32	32
пенка для умывания	819	False	пенка для умывания	31	31
lombok mastic lpp clinic treatment	12	False	lombok mastic lpp clinic treatment	32	32
гидрогелевые патчи для глаз	761	False	гидрогелевые патчи для глаз	31	31
солнцезащитные	36	False	солнцезащитные	32	32
крем с маточным молочком	1	False	крем с маточным молочком	26	26
bergame	1	False	bergame	0	0
Питательный крем для чувтсвительной кожи	1	True	питательный крем для чувствительной кожи	26	0
Skin Life Tool [арт 10395]	1	False	Skin Life Tool [арт 10395]	32	32
white organia	1	False	white organia	30	30
крем с коллагеном	36	False	крем с коллагеном	30	30
So fast	5	False	So fast	32	32
маска organic	2	False	маска organic	15	15
Кремы для лица	14	False	Кремы для лица	32	32
кушоны	264	False	кушоны	31	31
Скатка с углем	1	False	Скатка с углем	24	24
гидрогелевая маска	9	False	гидрогелевая маска	29	29
Для ухода за ресницами	3	False	Для ухода за ресницами	13	13
bubble mask	22	False	bubble mask	29	29
Petitfee гидрогелевые	1	False	Petitfee гидрогелевые	29	29
тонер для лица	269	False	тонер для лица	31	31
Aha bah pha кислоты	1	False	Aha bah pha кислоты	28	28
крем с витамином с	11	False	крем с витамином с	30	30
Raccoony	3	False	Raccoony	0	0
cosrx	181	False	cosrx	30	30
Heimish	7	False	Heimish	0	0
мицелярная вода	74	False	мицелярная вода	32	32
eye patch petitfee	135	False	eye patch petitfee	29	29
бальзамы для губ	176	False	бальзамы для губ	30	30
белая хна	3	False	белая хна	32	32
сыворотка для мезороллера	18	False	сыворотка для мезороллера	32	32
пилинговые диски	17	False	пилинговые диски	30	30
Витамины для мозга	2	False	Витамины для мозга	32	32
4919	13	False	4919	1	1
сухой шампунь	29	False	сухой шампунь	24	24
осветляю	1	True	осветляют	32	0
пилинг пэды	11	False	пилинг пэды	32	32
Isov	1	False	Isov	0	0
the skin house pore control powder serum	8	False	the skin house pore control powder serum	31	31
Missha Time Revolution The First Treatment Essence	3	False	Missha Time Revolution The First Treatment Essence	31	31
welcos	25	False	welcos	26	26
губная помада	18	False	губная помада	32	32
chateau labiotte	8	False	chateau labiotte	32	32
для волос коллаген	5	False	для волос коллаген	24	24
cp 1	82	True	cp-1	16	13
CosRx galactomyces	24	False	CosRx galactomyces	32	32
928	1	False	928	16	16
revecen	1	False	revecen	0	0
кислотный пилинг	146	False	кислотный пилинг	22	22
кисть для масок	28	False	кисть для масок	17	17
Elizavecca	10	False	Elizavecca	17	17
Bioaqua	10	False	Bioaqua	4	4
тату тинт для губ	111	False	тату тинт для губ	31	31
крема для комбинированной кожи	2	False	крема для комбинированной кожи	24	24
9025	3	False	9025	1	1
ночные маски	5	False	ночные маски	31	31
1642	3	False	1642	1	1
The Saem Healing Tea Garden Cleansing Foam	1	False	The Saem Healing Tea Garden Cleansing Foam	29	29
 Deoproce Cleansing Oil Fresh Pore Deep	1	False	deoproce cleansing oil fresh pore deep	32	32
гелевые патчи для глаз koelf	11	False	гелевые патчи для глаз koelf	23	23
retinol	18	False	retinol	2	2
wrinkle snail system cream	35	False	wrinkle snail system cream	27	27
holika holika	23	False	holika holika	0	0
scalp therapy shampoo	63	False	scalp therapy shampoo	30	30
jung saem cool	2	False	jung saem cool	32	32
ELIZAVECCA HELL-PORE CONTROL HYALURONIC ACID 97%	2	False	ELIZAVECCA HELL-PORE CONTROL HYALURONIC ACID 97%	31	31
mijin cosmetics essence	23	False	mijin cosmetics essence	32	32
пенка для умывания holika holika soda	5	False	пенка для умывания holika holika soda	0	0
увлажняющий крем для лица	318	False	увлажняющий крем для лица	28	28
поиск набор масок для подтяжки контура лица rubelli beauty face	4	False	поиск набор масок для подтяжки контура лица rubelli beauty face	32	32
6090	3	False	6090	1	1
Milky Piggy	5	False	Milky Piggy	29	29
масло для лица	42	False	масло для лица	32	32
крем-филлер	3	False	крем-филлер	4	4
gold 24k	30	False	gold 24k	24	24
увлажняющий крем	50	False	увлажняющий крем	30	30
Зубная паств детская	1	True	зубная паста детская	28	28
Garnier	5	False	Garnier	0	0
eye patch koelf	81	False	eye patch koelf	31	31
аденозин	15	False	аденозин	32	32
time revolution missha	223	False	time revolution missha	19	19
anskin modeling mask	22	False	anskin modeling mask	32	32
Тоник missha	5	False	Тоник missha	26	26
Mizon сыворотка	5	False	Mizon сыворотка	22	22
Выравнивающая база для ногтей Limoni Smoothing Base [арт 7922]	4	False	Выравнивающая база для ногтей Limoni Smoothing Base [арт 7922]	32	32
Fruit Vinegar Sheet Mask	1	False	Fruit Vinegar Sheet Mask	32	32
brow tint	126	False	brow tint	28	28
гидрофильное масло для жирной кожи	63	False	гидрофильное масло для жирной кожи	22	22
global white	1	False	global white	32	32
со змеиным ядом	32	False	со змеиным ядом	19	19
антивозрастные тонеры	65	False	антивозрастные тонеры	24	24
Mizon sleep	3	False	Mizon sleep	31	31
chupa chups candy glow cushion	26	False	chupa chups candy glow cushion	32	32
пузырьковая маска	255	False	пузырьковая маска	30	30
увядающей зрелой кожи	4	False	увядающей зрелой кожи	32	32
полоски от черных точек	30	False	полоски от черных точек	16	16
triple wear	5	False	triple wear	26	26
ETUDE HOUSE Face Blur	1	False	ETUDE HOUSE Face Blur	26	26
гиалуроновая сыворотка	101	False	гиалуроновая сыворотка	26	26
пилинг-гель	7	False	пилинг-гель	24	24
лопатка	7	False	лопатка	32	32
vdl	3	False	vdl	16	16
9026	7	False	9026	1	1
Steblanc	9	False	Steblanc	0	0
с ретинолом	11	False	с ретинолом	30	30
гиалуроновый тонер	14	False	гиалуроновый тонер	29	29
Глитр	1	True	glitter	18	18
набор для лица	175	False	набор для лица	27	27
missha bb boosting boomer cream	9	False	missha bb boosting boomer cream	31	31
Vitamin c	4	False	Vitamin c	23	23
jeju aloe	8	False	jeju aloe	26	26
vprove	14	False	vprove	29	29
etude house face blur	11	False	etude house face blur	26	26
Светоотражающая основа под макияж Missha ВВ Boosting Boomer Cream	3	False	Светоотражающая основа под макияж Missha ВВ Boosting Boomer Cream	31	31
очищающий стик	3	False	очищающий стик	30	30
missha misa cho gong jin	44	False	missha misa cho gong jin	32	32
Callicos ultra	1	False	Callicos ultra	32	32
пилинг пад	13	False	пилинг пад	24	24
эссенция для лица	200	False	эссенция для лица	30	30
уход вокруг глаз	18	False	уход вокруг глаз	16	16
nonco tea tree	8	False	nonco tea tree	27	27
Pachi	1	False	Pachi	0	0
матовая помада для губ	31	False	матовая помада для губ	18	18
Mizon black snail	3	False	Mizon black snail	32	32
Патчи для всех возрастов	3	False	Патчи для всех возрастов	32	32
37955	1	False	37955	0	0
маска увлажняющая ночная lioele v-line waterdrop sleeping pack	5	False	маска увлажняющая ночная lioele v-line waterdrop sleeping pack	29	29
Альнатная маска Anskin 1 кг	1	True	альгинатная маска anskin 1 кг	32	32
collagen eye patch	20	False	collagen eye patch	28	28
