searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
samsung evo plus	6	False	samsung evo plus	27	27
xiaomi mi 8	35	False	xiaomi mi 8	27	27
Cucu	3	False	Cucu	30	30
Внешний корпус для HDD	2	False	Внешний корпус для HDD	30	30
кнопка для корпуса пк	1	False	кнопка для корпуса пк	30	30
Chieftec (BLC-600S)	1	False	Chieftec (BLC-600S)	30	30
стеллаж	4	False	стеллаж	25	25
Tomy	3	False	Tomy	0	0
Sony HDR-CX405	2	False	Sony HDR-CX405	30	30
gtx 1060 6gb	24	False	gtx 1060 6gb	29	29
samsung j5 2017	2	False	samsung j5 2017	20	20
Стульчик для купания	1	False	Стульчик для купания	30	30
бутербродница	5	False	бутербродница	30	30
ryzen 5 2600	52	False	ryzen 5 2600	29	29
gtx 1060	63	False	gtx 1060	29	29
CP-9020122-EU	1	False	CP-9020122-EU	30	30
xiaomi	203	False	xiaomi	27	27
UTJ-U3	2	False	UTJ-U3	0	0
usb - microusb	1	False	usb - microusb	30	30
кабели	14	False	кабели	26	26
Dji OSMO Pocket	1	False	Dji OSMO Pocket	30	30
процессор 1155	3	False	процессор 1155	30	30
инфракрасный обогреватель almac	9	False	инфракрасный обогреватель almac	25	25
0473361	1	False	0473361	30	30
ретро приставки	1	False	ретро приставки	30	30
умница	15	False	умница	28	28
huawei	26	False	huawei	27	27
groove	1	False	groove	30	30
медиаплеер	14	False	медиаплеер	22	22
кабель интеернет	1	True	кабель интернет	30	0
леска для триммера	1	False	леска для триммера	30	30
набор фрез	4	False	набор фрез	30	30
xiaomi notebook	12	False	xiaomi notebook	28	28
quick charge	2	False	quick charge	15	15
встраиваемый духовой шкаф с микроволновкой	21	False	встраиваемый духовой шкаф с микроволновкой	26	26
intel core i5-7600k	13	False	intel core i5-7600k	26	26
Герметик кузовной	7	False	Герметик кузовной	18	18
Crucial 8GB Kit	1	False	Crucial 8GB Kit	30	30
измельчитель овощей	2	False	измельчитель овощей	30	30
iwown	2	False	iwown	30	30
z87m-HD3	5	False	z87m-HD3	19	19
520046	1	False	520046	30	30
wifi роутер	28	False	wifi роутер	25	25
мини печь	10	False	мини печь	30	30
розетка usa	1	False	розетка usa	30	30
Микроволновая печь Artel MWD 0323 белый	2	False	Микроволновая печь Artel MWD 0323 белый	30	30
триммеры аккумуляторные	5	False	триммеры аккумуляторные	30	30
Ранец на колесах	1	False	Ранец на колесах	30	30
TetChair iCar	1	False	TetChair iCar	30	30
Bugaboo	3	False	Bugaboo	30	30
HMT84M461R	2	False	HMT84M461R	16	16
Klask	1	False	Klask	30	30
Купольная IP-камера Rvi-IPC2Z30-PRO V.2	1	False	Купольная IP-камера Rvi-IPC2Z30-PRO V.2	30	30
gtx 1060 3 gb	8	False	gtx 1060 3 gb	29	29
Assasin	1	True	assassin	30	30
