weight	variant	ru_trans	eng_trans	init_query
4	солнцево	соло	dog monoproteico solo	солнцево park
2	сущевская улица	ултра	canin ultra	сущевская улица
1	конин кострированых	канин	canin babycat instinctive	royal конин для кострированых котов
3	пеленка	дефенке	daily defence	пелёнка для животных
3	поводок	поодле	poodle	поводок
1	л)	ол	puppy all	древесный наполнитель для кошачьего туалета (5 л)
2	г)	дог	dog vet renal	паучи royal canin renal для кошек при хпн с тунцом (85 г)
2	хепи	хаппи	happy dog junior	хепи cat
1	колин	клин	clean multiple cat	pro колин
2	совок	соло	monoproteico solo	совок
1	пак	парк	loro parque mix	pro пак
1	стоп-цистит	степ	fresh step crystals	стоп-цистит
1	стоп-стресс	степ	fresh step crystals	стоп-стресс
2	лд	лорд	lord	hill's лд
5	стоморджил	стерил	nutrisavour steril	стоморджил №2
3	мотыль	рояль	royal canin sphynx	мотыль средний aqua меню
1	мальта софт вывода	мальт	beaphar duo malt	мальта софт extra для вывода шерсти
3	кьюзин	кейнин	canin yorkshire	green кьюзин
2	гипатик	хепатик	royal canin hepatic	гипатик для кошек
2	окей	кейр	care cat missy	with окей
7	питаниемдля	адванкед	adult advanced	hill's диетическое питаниемдля кошек
2	страйд	стерайл	perfect fit sterile	страйд plus
4	каптокур	савоур	savour	sera каптокур
3	сканер	начер	nature daily menu	royal сканер
3	глобал	тотал	total	глобал vet
1	клозе	клозет	closet cat	в и с и клозе т наполнитель
3	москва	аква	aqua breeze scent	москва
4	кормушки	каттурки	cat turkey	кормушки для волнистых попугаев
1	ом	фом	animonda vom feinsten	purina ом
4	аквариум	аурантиум	citrus aurantium	аквариум
2	чау	кат	premium cat adult	cat чау
1	трос, м,	эм	glm	рулетка flexi design, трос, 3 м, 8 кг
2	№й1	ол	all breeds	наполнитель силикагелевый №й1
5	расческа	мачер	science plan mature	расческа
1	эдель	эдел	edel	эдель cat
3	эвиталия	витал	vitakraft menu vital	эвиталия vet
7	вычесывания	ветеринари	veterinary	щетка для вычесывания
2	хэпи	хэйр	hair large dog	хэпи cat
0	метаболик	метаболик	prescription diet metabolic	hill's метаболик
2	банках	панах	panax	хепи dog в банках
3	уринаривет	уринари	urinary tract health	уринаривет dog
3	товары	тотал	total	товары от блох кошкам
4	прокладка	пролайф	prolife holistic sterilised	tetra прокладка
1	флекес	флакес	malawi flakes	tetra мин флекес
2	цестал	дентал	dental knot color	таблетки цестал plus
6	сухопутной	тоол той	hair tool toy	сухопутной черепах и
1	модерайт калории	модерейт	intestinal moderate	сухой корм royal canin gastro intestinal модерайт калории
4	рюкзак-переноска	крок	bigl croc	рюкзак-переноска для кошки
2	фарм	фаст	fast	royal фарм
1	конин	канин	canin babycat instinctive	royal конин
6	лактирующих	максипуппи	canin maxi puppy	royal canin для лактирующих кошек
2	эдвансед	адванкед	adult advanced	renal эдвансед
3	эдванс	баланс	naturcroq adult balance	renal эдванс
3	адванс	аква	aqua breeze scent	renal адванс
1	реал	ренал	canin renal	реал canin renal
1	раял	роял	royal canin hepatic	раял canin
0	проплан	проплан	pro plan sterilised	purina проплан для пожилых кошек
2	коллин	клин	clean lavender	pro коллин
4	деодный	дефенке	daily defence lamb	ошейник для собаки цветов деодный
4	отофенол	профешнал	reptil professional	отофенол gold
2	бокс	микс	tetrawafer mini mix	multi бокс для рулетки flexi
