weight	variant	ru_trans	eng_trans	init_query
4	солнцево	соло	monoproteico solo	солнцево park
2	сущевская улица	ултра	royal canin ultra	сущевская улица
1	конин кострированых	канин	canin yorkshire	royal конин для кострированых котов
3	пеленка	дефенке	defence	пелёнка для животных
3	поводок	повдер	baby powder	поводок
0	л)		oops!	древесный наполнитель для кошачьего туалета (5 л)
0	г)		oops!	паучи royal canin renal для кошек при хпн с тунцом (85 г)
1	хепи	хеппи	happy dog	хепи cat
1	колин	клин	ever clean	pro колин
2	совок	соло	dog monoproteico solo	совок
1	пак	парк	park potty	pro пак
1	стоп-цистит	степ	step crystals	стоп-цистит
1	стоп-стресс	степ	step crystals	стоп-стресс
1	лд	3д	rolf club 3d	hill's лд
5	стоморджил	стерил	plan nutrisavour steril	стоморджил №2
3	мотыль	тотал	total	мотыль средний aqua меню
1	мальта софт вывода	мальт	beaphar malt bits	мальта софт extra для вывода шерсти
3	кьюзин	клин	ever clean fast	green кьюзин
2	гипатик	хепатик	hepatic	гипатик для кошек
2	окей	кейр	brit care kitten	with окей
7	питаниемдля	канинмини	canin mini exigent	hill's диетическое питаниемдля кошек
2	страйд	стерайл	perfect fit sterile	страйд plus
4	каптокур	натур	cavia nature	sera каптокур
3	сканер	начер	almo nature legend	royal сканер
3	глобал	тотал	total	глобал vet
1	клозе	клозет	closet cat for	в и с и клозе т наполнитель
3	москва	аква	ever clean aqua	москва
4	кормушки	каттурки	cat turkey	кормушки для волнистых попугаев
1	ом	ол	adult all breed	purina ом
4	аквариум	аква	clean aqua	аквариум
2	чау	чов	chow urinary tract	cat чау
0	трос, м,		oops!	рулетка flexi design, трос, 3 м, 8 кг
0	№й1		oops!	наполнитель силикагелевый №й1
5	расческа	сера	sera goldy	расческа
1	эдель	эдел	edel	эдель cat
2	эвиталия	виталин	vitaline	эвиталия vet
7	вычесывания	ветеринари	diets veterinary diets	щетка для вычесывания
1	хэпи	хэппи	happy cat	хэпи cat
0	метаболик	метаболик	metabolic	hill's метаболик
2	банках	панах	panax ginseng	хепи dog в банках
3	уринаривет	уринарихеалт	protection urinary health	уринаривет dog
3	товары	ковер	clean total cover	товары от блох кошкам
4	прокладка	проплан	pro plan vet	tetra прокладка
1	флекес	флакес	colour flakes	tetra мин флекес
2	цестал	дентал	dental	таблетки цестал plus
6	сухопутной	тоол той	tool toy dog	сухопутной черепах и
1	модерайт калории	калорие	intestinal moderate calorie	сухой корм royal canin gastro intestinal модерайт калории
3	рюкзак-переноска	люксан	luxsan	рюкзак-переноска для кошки
2	фарм	фор	senior for dog	royal фарм
1	конин	канин	canin yorkshire	royal конин
